index,module,topic,feed,term,created,added,language,ratio,location,latitude,longitude,age
'34a45dca34',extremes,Flood,floodList,Flooding Ghana,2023-06-24T18:52:00+00:00,2023-06-25T18:52:00+00:00,en,0.5,Ghana,,,0
'591df00b77',extremes,Flood,floodList,Deadly Floods After 54mm of Rain in 1 Hour,2023-06-24T18:52:00+00:00,2023-06-25T18:52:00+00:00,en,0.45,Kosovo,,,0
'79a5c479ad',extremes,Flood,floodList,Flooding Kosovo,2023-06-24T18:52:00+00:00,2023-06-25T18:52:00+00:00,en,0.5,Kosovo,,,0
'e01de8c788',extremes,Flood,floodList,Deadly Floods Strike in Southern Regions,2023-06-24T18:52:00+00:00,2023-06-25T18:52:00+00:00,en,0.45,Ghana,,,0
'751077ebbc',extremes,Thunderstorm,unknown,lightning Montenegro,2023-06-24T23:50:00+00:00,2023-06-25T18:37:00+00:00,en,0.45,Montenegro,41.93,19.21,0
'9c4cc55f18',extremes,Thunderstorm,unknown,hail Lithuania,2023-06-25T15:35:00+00:00,2023-06-25T18:37:00+00:00,en,0.45,Lithuania,54.9,23.9,0
'beedfec020',extremes,Thunderstorm,unknown,hail Romania,2023-06-25T09:00:00+00:00,2023-06-25T18:37:00+00:00,en,0.45,Romania,45.05,27.16,0
'ca23bc5de6',extremes,Flash Flood,unknown,heavy rain Romania,2023-06-25T11:30:00+00:00,2023-06-25T18:37:00+00:00,en,0.45,Romania,45.97,25.57,0
'd362ed79b2',extremes,Storm,unknown,tornado Romania,2023-06-25T12:40:00+00:00,2023-06-25T18:37:00+00:00,en,0.45,Romania,44.33,25.91,0
'f1cf294505',extremes,Flash Flood,unknown,heavy rain Bulgaria,2023-06-24T20:45:00+00:00,2023-06-25T18:37:00+00:00,en,0.45,Bulgaria,43.51,23.15,0
'21c2f976fd',extremes,Flash Flood,unknown,heavy rain Latvia,25-06-2023T10:34:00+00:00,2023-06-25T14:37:00+00:00,en,0.45,Latvia,57.03,22.9,0
'b9e25825d6',extremes,Thunderstorm,unknown,hail Latvia,25-06-2023T11:40:00+00:00,2023-06-25T14:37:00+00:00,en,0.45,Latvia,57.03,22.77,0
