index,module,topic,color,feed,term,created,country,ratio,counter,pages,language,ipcc,continent
'b0d5644fb3',extremes,Fog,#d60d2b,wmo,Fog Leningrad Region,2024-02-19T02:38:00+00:00,Russian Federation,0.7435263826314193,0.0,2.0,en,ESB,Europe
'91e1fa84f1',extremes,Storm,#b3b2b1,wmo,Storm GUELMA,2024-02-09T02:38:00+00:00,Algeria,0.7434990578386043,0.0,2.0,en,SAH,Africa
'70a53476b3',extremes,Flood,#030ba1,wmo,Flashflood Northern Territory Moyle River,2024-03-08T07:57:00+00:00,Australia,0.7434929452606879,0.0,2.0,en,CAU,Oceania
'739ef93333',extremes,Drought,#edc291,edo,Lack of Rain China,2024-03-01T02:41:00+00:00,China,0.7434899415227142,0.0,2.0,en,TIB,Asia
'5f1c18d8f0',extremes,Flood,#030ba1,relief,Flood Sri Lanka,2024-01-21T02:46:00+00:00,Sri Lanka,0.7434824501042188,0.0,2.0,en,BOB,Asia
'270585df35',extremes,Wildfire,#d60d2b,esawfa,Bushfire Iceland,2024-02-12T02:38:00+00:00,Iceland,0.7434515981695267,0.0,2.0,en,GIC,Europe
'1fa195a095',extremes,Flood,#030ba1,wmo,Flood Edgefield SC McCormick SC,2024-02-13T02:38:00+00:00,United States,0.7434403678000685,0.0,2.0,en,CNA,North-America
'9514e403ca',extremes,Flood,#030ba1,wmo,Flooding Bergen NJ,2024-03-10T02:40:00+00:00,United States,0.7433918309655702,0.0,2.0,en,CNA,North-America
'f5afb20efd',extremes,Earthquake,#870007,usgs,Earthquake South Sandwich Islands region,2024-02-01T02:40:00+00:00,,0.7433258586123938,0.0,2.0,en,SOO,Antarctica
'3a04076217',extremes,Flood,#030ba1,wmo,Flashflood Coos OR,2024-03-03T02:38:00+00:00,United States,0.7433249100023281,0.0,2.0,en,CNA,North-America
'856f669c6e',extremes,Landslide,#572c03,relief,Land Slide Sri Lanka,2024-01-21T02:46:00+00:00,Sri Lanka,0.7433222750672275,0.0,2.0,en,BOB,Asia
